"Inicio del informe","Fin del informe","Nombre del anuncio","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","CTR único (porcentaje de clics en el enlace)","Clics únicos en el enlace","CPC (costo por clic en el enlace) (COP)","Visitas a la página de destino","Costo por visita a la página de destino (COP)","Ratio Visitas/Clicks","Pagos iniciados","Costo por pago iniciado (COP)","Costo por pago único iniciado (COP)","Ratio pagos i / Visitas","Pagos únicos iniciados","Valor de conversión de pagos iniciados",Compras,"Compras únicas","Valor de conversión de compras","Costo por compra (COP)","Costo por compra única (COP)",Resultados,"Indicador de resultado","Tasa de resultados","Costo por resultados","ROAS (retorno de la inversión en publicidad) de compras",Alcance,Frecuencia,Impresiones,"Fecha de creación","Costo por mil personas alcanzadas (COP)","Compras en el sitio web","Costo por artículo agregado al carrito (COP)","Entrega del anuncio","Entrega del conjunto de anuncios","Configuración de atribución","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones",Puja,"Tipo de puja","Importe gastado (COP)"
2022-01-31,2022-01-31,"Ad img 2 copy 1","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,archived,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-31,2022-01-31,"Ad img 03 copy 01","PG -  Comida > Cocina japonesa > Sushi",3935.064935,1.315789,1,303,1,303,1,,,,0,,,,,,,,,,,,,76,1.013158,77,2022-01-28,3986.842105,,,not_delivering,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,303
2022-01-31,2022-01-31,"x0 Ad img 04 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-31,2022-01-31,"Ad img 05 copy 01","PG -  Comida > Cocina japonesa > Sushi",1082.352941,2.380952,2,46,1,92,0.5,,,,0,,,,,,,,,,,,,84,1.011905,85,2022-01-28,1095.238095,,,not_delivering,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,92
2022-01-31,2022-01-31,"x0 Ad img 06 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-31,2022-01-31,"u0 Ad img 07 copy 01","PG -  Comida > Cocina japonesa > Sushi",4993.902439,3.08642,5,136.5,5,163.8,0.83333333,,,,0,,,,,,,,,,,,,162,1.012346,164,2022-01-28,5055.555556,,,not_delivering,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,819
2022-01-31,2022-01-31,"u0 Ad img 08 copy 01","PG -  Comida > Cocina japonesa > Sushi",3984.037559,0.992063,10,353.583333,8,530.375,0.66666667,1,4243,,0.125,,,,,,,,,,,,,1008,1.056548,1065,2022-01-28,4209.325397,,,not_delivering,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,Promedio,Promedio,Promedio,0,ABSOLUTE_OCPM,4243
2022-01-31,2022-01-31,"u1 Ad img 09 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,not_delivering,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-31,2022-01-31,"Ad img 10 copy 1","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-31,2022-01-31,"Ad img 11 copy 1","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,inactive,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
