"Inicio del informe","Fin del informe","Nombre del anuncio","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","CTR único (porcentaje de clics en el enlace)","Clics únicos en el enlace","CPC (costo por clic en el enlace) (COP)","Visitas a la página de destino","Costo por visita a la página de destino (COP)","Ratio Visitas/Clicks","Pagos iniciados","Ratio pagos i / Visitas","Pagos únicos iniciados","Valor de conversión de pagos iniciados","Costo por pago iniciado (COP)","Costo por pago único iniciado (COP)",Compras,"Compras únicas","Valor de conversión de compras","Costo por compra (COP)","Costo por compra única (COP)",Resultados,"Indicador de resultado","Tasa de resultados","Costo por resultados","ROAS (retorno de la inversión en publicidad) de compras",Alcance,Frecuencia,Impresiones,"Fecha de creación","Costo por mil personas alcanzadas (COP)","Compras en el sitio web","Costo por artículo agregado al carrito (COP)","Entrega del anuncio","Entrega del conjunto de anuncios","Configuración de atribución","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones",Puja,"Tipo de puja","Importe gastado (COP)"
2022-01-29,2022-01-29,,,5798.215063,1.558964,,,,,,,,,,,,,,,,,,,,,,3977,1.155142,4594,0,6697.762132,,,0,0,"7 días después de hacer clic o 1 día tras la visualización",0,0,-,-,-,0,0,26637
2022-01-29,2022-01-29,"Ad img 2 copy 1","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,archived,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-29,2022-01-29,"Ad img 03 copy 01","PG -  Comida > Cocina japonesa > Sushi",5203.065134,1.581028,4,271.6,2,679,0.4,,0,,,,,,,,,,,,,,,253,1.031621,261,2022-01-28,5367.588933,,,active,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,1358
2022-01-29,2022-01-29,"x0 Ad img 04 copy 01","PG -  Comida > Cocina japonesa > Sushi",7338.582677,0,,,,,,,,,,,,,,,,,,,,,,122,1.040984,127,2022-01-28,7639.344262,,,inactive,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,932
2022-01-29,2022-01-29,"Ad img 05 copy 01","PG -  Comida > Cocina japonesa > Sushi",2510.638298,0,,,,,,,,,,,,,,,,,,,,,,46,1.021739,47,2022-01-28,2565.217391,,,active,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,118
2022-01-29,2022-01-29,"x0 Ad img 06 copy 01","PG -  Comida > Cocina japonesa > Sushi",10583.333333,0,,,,,,,,,,,,,,,,,,,,,,24,1,24,2022-01-28,10583.333333,,,inactive,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,254
2022-01-29,2022-01-29,"u0 Ad img 07 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,active,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-29,2022-01-29,"u0 Ad img 08 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,active,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-29,2022-01-29,"Ad img 09 copy 01","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
2022-01-29,2022-01-29,"Ad img 10 copy 1","PG -  Comida > Cocina japonesa > Sushi",0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,2022-01-28,0,,,inactive,active,"7 días después de hacer clic o 1 día tras la visualización",8000,Diario,-,-,-,0,ABSOLUTE_OCPM,0
