"Ad Set Name","Ratio pagos i / Visitas","Ratio Visitas/Clicks",Results,"Result indicator","Result rate",Reach,Frequency,Impressions,"Ad set delivery","Amount spent (COP)","Clicks (all)","CPC (All) (COP)","CTR (all)","Gross impressions (includes invalid impressions from non-human traffic)","Auto-refresh impressions","Attribution setting","Cost per results","Cost per 1,000 people reached (COP)","CPM (cost per 1,000 impressions) (COP)","Page engagement","Page likes","Post comments","Post engagement","Post reactions","Post saves","Post shares","Photo views","Event responses",Check-ins,"100% in-view impressions","100% in-view reach",ar_effect_share:ar_effect_share,"Cost per Page engagement (COP)","Cost per Page like (COP)","Cost per post engagement (COP)","Cost per Event Response (COP)","New messaging connections","Blocked messaging connections","Messaging Conversations Started","Cost per new messaging connection (COP)","Cost per messaging conversations started (COP)","Unique 2-second continuous video plays","2-second continuous video plays","3-second video plays",ThruPlays,"Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays","Instant experience view time","Instant experience view percentage",instant_experience_element_impressions:instant_experience_element_impression,instant_experience_element_reach:instant_experience_element_impression,"Cost per 2-second continuous video play (COP)","Cost per 3-second video plays (COP)","Cost per ThruPlay (COP)","Link clicks","Unique link clicks","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique clicks (all)","Unique CTR (all)","Instant experience clicks to open","Instant experience clicks to start","Instant experience outbound clicks",actions:click_to_call_call_confirm,"CPC (cost per link click) (COP)","Cost per unique link click (COP)","Cost per outbound click (COP)","Cost per unique outbound click (COP)","Cost per unique click (all) (COP)","Estimated ad recall lift (people)","Estimated ad recall lift rate","Cost per estimated ad recall lift (people) (COP)","Achievements unlocked","Cost per achievement unlocked (COP)","Achievements unlocked conversion value","Unique achievements unlocked","Cost per unique achievement unlocked (COP)","Adds of payment info","Cost per add of payment info (COP)","Adds of payment info conversion value","Unique adds of payment info","Cost per unique add of payment info (COP)","Adds to cart","Cost per add to cart (COP)","Adds to cart conversion value","Unique Adds to Cart","Cost per unique add to cart (COP)","Adds to wishlist","Cost per add to wishlist (COP)","Adds to wishlist conversion value","Unique adds to wishlist","Cost per unique add to wishlist (COP)","App activations","Cost per app activation (COP)","App activations conversion value","Unique app activations","Cost per unique app activation (COP)","App installs","Cost per app install (COP)","Applications submitted","Cost per Submit Application (COP)","Submit application conversion value","Appointments Scheduled","Cost per schedule (COP)","Schedule conversion value","Checkouts Initiated","Cost per checkout initiated (COP)","Checkouts initiated conversion value","Unique checkouts initiated","Cost per unique checkout initiated (COP)",Contacts,"Cost per contact (COP)","Contact conversion value","Content views","Cost per content view (COP)","Content views conversion value","Unique content views","Cost per unique content view (COP)","Credit spends","Cost per Credit Spend (COP)","Credit spends conversion value","Unique credit spends","Cost per unique credit spend (COP)","Custom Events","Cost per custom event (COP)","Desktop app engagements","Cost per desktop app engagement (COP)","Desktop app story engagements","Cost per desktop app story engagement (COP)","Desktop app uses","Cost per desktop app use (COP)","Donation ROAS (return on ad spend)",Donations,"Cost per donation (COP)","Donate conversion value","Game plays","Cost per game play (COP)","Get directions clicks","In-app ad clicks","Cost per in-app ad click (COP)","In-app ad impressions","Cost per 1,000 in-app ad impressions (COP)","Landing page views","Cost per landing page view (COP)","Unique landing page views"," (COP)",Leads,"Cost per lead (COP)","Leads Conversion Value","Levels achieved","Cost per level achieved (COP)","Levels achieved conversion value","Unique levels completed","Cost per unique level completed (COP)","Location searches","Cost per find location (COP)","Find location conversion value","Mobile app D2 retention","Cost per mobile app D2 retention (COP)","Unique mobile app D2 retention","Cost per unique mobile app D2 retention (COP)","Mobile app D7 retention","Cost per mobile app D7 retention (COP)","Unique mobile app D7 retention","Cost per unique mobile app D7 retention (COP)","Offline other conversions","Cost per offline other conversion (COP)","Offline other conversion value","On-Facebook workflow completions","Cost per on-Facebook workflow completion (COP)","On-Facebook workflow completion conversion value","Phone Number Clicks","Products customized","Cost per customize product (COP)","Customize product conversion value","Purchase ROAS (return on ad spend)",Purchases,"Cost per purchase (COP)","Purchases conversion value","Unique purchases","Cost per unique purchase (COP)","Ratings submitted","Cost per rating submitted (COP)","Ratings submitted conversion value","Unique ratings submitted","Cost per unique rating submitted (COP)","Registrations Completed","Cost per registration completed (COP)","Registrations completed conversion value","Unique registrations completed","Cost per unique registration completed (COP)",Searches,"Cost per search (COP)","Searches conversion value","Unique searches","Cost per unique search (COP)",Subscriptions,"Cost per subscription (COP)","Subscribe conversion value","Trials started","Cost per start trial (COP)","Start trial conversion value","Tutorials completed","Cost per tutorial completed (COP)","Tutorials completed conversion value","Unique tutorials completed","Cost per unique tutorial completed (COP)","WA Btn","WA Btn conversion value","Cost per action type WA Btn","Website adds of payment info","Website adds of payment info conversion value","Website adds to cart","Website adds to cart conversion value","Website adds to wishlist","Website adds to wishlist conversion value","Website applications submitted","Website submit application conversion value","Website appointments scheduled","Website schedule conversion value","Website checkouts initiated","Website checkouts initiated conversion value","Website contacts","Website contact conversion value","Website content views","Website content views conversion value","Website donations","Website donate conversion value","Website leads","Website leads conversion value","Website location searches","Website find location conversion value","Website products customized","Website customize product conversion value","Website purchase ROAS (return on ad spend)","Website purchases","Website purchases conversion value","Website registrations completed","Website registrations completed conversion value","Website searches","Website searches conversion value","Website subscriptions","Website subscribe conversion value","Website trials started","Website start trial conversion value","Account ID","Account name","Campaign name","Campaign ID","Ad set ID","Date created","Date last edited",Starts,Ends,"Reporting starts","Reporting ends",Bid,"Bid type","Ad set budget","Ad set budget type","Location (ad set settings)","Age (ad set settings)","Gender (ad set settings)",custom_audiences,excluded_custom_audiences,"Optimization events","Optimization Event Indicator","Optimization event conversion window","Cost per optimization event","Last significant edit"
"WW Int: Comida > Cocina japonesa > Sushi",,,,,,0,0,0,not_delivering,0,0,0,0,0,0,"7-day click or 1-day view",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,,,,,,0,,,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Interact Fanpage CBO",23849219070980786,23849219071030786,2022-01-16,2022-01-16,2022-01-16,2022-01-23,2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,"Using campaign budget",0,"No Breakdown",,,,,,,,,2022-01-16T21:13:37-0500
"WW Int: Gastronomia > Sushi",,,,,,0,0,0,not_delivering,0,0,0,0,0,0,"7-day click or 1-day view",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,,,,,,0,,,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Interact Fanpage CBO",23849219070980786,23849257958880786,2022-01-16,2022-01-16,2022-01-16,2022-01-23,2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,"Using campaign budget",0,"No Breakdown",,,,,,,,,2022-01-16T21:14:06-0500
"WW Int: Cocina > Sushi",,,,,,0,0,0,inactive,0,0,0,0,0,0,"7-day click or 1-day view",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,,,,,,0,,,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Interact Fanpage CBO",23849219070980786,23849263362420786,2022-01-16,2022-01-21,2022-01-16,2022-01-23,2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,"Using campaign budget",0,"No Breakdown",,,,,,,,,2022-01-16T21:12:52-0500
"PG -  Comida > Cocina japonesa > Sushi",1,0.25,,,,691,1.021708,706,inactive,3072,12,256,1.699717,708,1,"7-day click or 1-day view",,4445.730825,4351.274788,8,,,8,4,,,,,,,,,384,,384,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,4,4,4,4,0.566572,0.578871,0.566572,0.578871,11,1.591896,0,0,,,768,768,768,768,279.272727,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Conversion ABO web",23849353082650786,23849353082700786,2022-01-28,2022-02-01,2022-01-29,"En curso",2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,8000,Daily,"No Breakdown",,,,,,,,,2022-01-30T07:53:07-0500
"PG -  Recetas > Aprendizaje, +2 > Compras, +2 > Sushi",1,0.33333333,,,,473,1.016913,481,inactive,2887,9,320.777778,1.871102,487,5,"7-day click or 1-day view",,6103.59408,6002.079002,4,,,4,,1,,,,,,,,721.75,,721.75,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,3,3,3,3,0.623701,0.634249,0.623701,0.634249,7,1.479915,0,0,,,962.333333,962.333333,962.333333,962.333333,412.428571,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Conversion ABO web",23849353082650786,23849353303580786,2022-01-29,2022-02-01,2022-01-29,"En curso",2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,8000,Daily,"No Breakdown",,,,,,,,,2022-01-30T08:39:32-0500
"fusion adsets",0.13333333,0.71428571,,,,1763,1.047079,1846,inactive,9719,47,206.787234,2.546046,1859,15,"7-day click or 1-day view",,5512.762337,5264.897075,29,,,29,5,1,2,,,,,,,335.137931,,335.137931,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,21,20,21,20,1.137595,1.13443,1.137595,1.13443,42,2.382303,0,0,,,462.809524,485.95,462.809524,485.95,231.404762,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4859.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,647.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Conversion ABO web",23849353082650786,23849353327670786,2022-01-29,2022-02-03,2022-01-29,"En curso",2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,12000,Daily,"No Breakdown",,,,,,,,,2022-02-01T11:43:10-0500
"PG -  Gastronomia > Sushi",0,0.5,,,,513,1.017544,522,inactive,2732,11,248.363636,2.10728,524,6,"7-day click or 1-day view",,5325.536062,5233.716475,5,,,5,1,,,,,,,,,546.4,,546.4,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,4,4,4,4,0.766284,0.779727,0.766284,0.779727,7,1.364522,0,0,,,683,683,683,683,390.285714,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Conversion ABO web",23849353082650786,23849353353650786,2022-01-29,2022-02-01,2022-01-29,"En curso",2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,8000,Daily,"No Breakdown",,,,,,,,,2022-02-01T11:42:52-0500
"PG -  ww_es Int(Sushi Chef, Cocina japonesa > Buyer)",0.75,0.57142857,,,,480,1.022917,491,inactive,2914,11,264.909091,2.240326,493,3,"7-day click or 1-day view",,6070.833333,5934.826884,7,,,7,,,,,,,,,,416.285714,,416.285714,,,,,,,,,,,,,,,,00:00:00,,0,0,,,,,,7,7,7,7,1.425662,1.458333,1.425662,1.458333,9,1.875,0,0,,,416.285714,416.285714,416.285714,416.285714,323.777778,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,971.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,728.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,888805611817797,"Sushi Founder Ads Account","Conversion ABO web",23849353082650786,23849353360500786,2022-01-29,2022-02-01,2022-01-29,"En curso",2022-02-01,2022-02-01,0,ABSOLUTE_OCPM,8000,Daily,"No Breakdown",,,,,,,,,2022-01-30T08:39:31-0500
